,deviceName,farEndInterface,nearEndInterface,neighborDeviceName
246,ORSTVMCNT-MBLCA-AS01,GigabitEthernet0,nullvalue,ORSTVMC-LCAF24A
247,CA-TZMC-NBDG-001A-S01,GigabitEthernet0,nullvalue,CTAR-WP1-W6e11-WP1C09
248,CA-TZMC-EBDG-002A-S01,GigabitEthernet0,nullvalue,CTAR-RAD2-We634-RA2C07
249,ORSTVMCNT-MBLEA-AS01,GigabitEthernet0,nullvalue,ORSTVMC-LEADF3C
250,CLDLV-DAS-CAGE4021-01,Ethernet2/4,Ethernet2/4,CLDLV-DAS-CAGE4027-01
251,FAR-05-4507-1,Port 1,GigabitEthernet7/20,SEPD4A02A8825F5
252,WA-FHMC-ARTO-003A-S81,FastEthernet0,GigabitEthernet103/3/0/1,HFAR-03-1130-11
253,WA-FHMC-ARTO-003A-S81,GigabitEthernet0,GigabitEthernet103/3/0/42,HFAR-03-2600-8
254,WA-FHMC-ARTO-003A-S81,Port 1,GigabitEthernet103/3/0/18,SEP0015623A4FB0
255,KC-1096Goethals-2960x-1,Port 0,GigabitEthernet3/0/4,00180add2770
256,AACC-TMDF-S002,GigabitEthernet3/0/1,GigabitEthernet1/17,AACC-UUT2-S001
257,SJOPA-LAS-IDFPav21-01,Port 1,GigabitEthernet4/0/2,SEP7018A717EADE
258,WAFIFAVNT-8AIDF-AS01,Port 1,GigabitEthernet8/21,SEP00DA5527C48C
259,WAFIFAVNT-8AIDF-AS01,Port 1,GigabitEthernet7/32,SEP0016469B7455
260,WA-TUKW-RFTP-002A-S81,GigabitEthernet0/0/1,TenGigabitEthernet2/1/5,WARVRTP-00002MDF-WR02
261,SJOPA-LAS-HHFOB760-01,Port 1,GigabitEthernet2/0/9,SEPF07816A24776
262,WATKWDCNT-13A02-OS01,FastEthernet0/1,GigabitEthernet1/0/7,WSBY13B7S001
263,HCJA-4B-3750,Port 1,FastEthernet2/0/24,SEP44ADD9D4972C
264,WATKWDCNT-01B05-AS01,Ethernet1/48,GigabitEthernet1/0/13,exadss01sw-adm0
265,WAVALOPNT-E2-W01,GigabitEthernet0,nullvalue,WAVALOPNT-E2-APFF06
266,WAVALOPNT-W1-W01,GigabitEthernet0,nullvalue,WAVALOPNT-W1-APFF0E
267,WAVALOPNT-W2-W01,GigabitEthernet0,GigabitEthernet1/0/7,WAVALOPNT-W2-APE564
268,PJA-04-3750,GigabitEthernet0,FastEthernet2/0/37,PJA-04-2700-7
269,WQDC-3B3-S003,GigabitEthernet0/2,GigabitEthernet0/1,WQDC-3B3-S002
270,ORSTVMCNT-MB2EA-AS01,GigabitEthernet0,nullvalue,ORSTVMC-2EAB790
271,WARNTS2NT-2W-W01,GigabitEthernet0,GigabitEthernet1/0/2,WARNTS2-2W-APFDA2
272,ORSTVMCNT-MB3EA-AS01,GigabitEthernet0,nullvalue,ORSTVMC-3EA6F1A
273,CA-LCMC-HANN-00BN-S91,TenGigabitEthernet1/1/1,nullvalue,CA-LCMC-HANN-001N-S01
274,ORSTVMCNT-MBLEA-AS01,GigabitEthernet0,nullvalue,ORSTVMC-LEAEED2
275,WASHRWHNT-L3BDF-DS21,GigabitEthernet0,TenGigabitEthernet1/1/7,wsmc-wa2w-fb2e
276,CA-LCMC-JLDC-R306-S92,Ethernet3/35,nullvalue,CA-LCMC-JLDC-R307-S91
277,WASHRWHNT-L3BDF-DS21,GigabitEthernet0,TenGigabitEthernet2/1/7,wsmc-wa2w-7ea9
278,WASHRWHNT-L3BDF-DS21,GigabitEthernet0,TenGigabitEthernet2/1/4,wsmc-wal3-7EF6
279,WASTPMCNT-00LLF-AS01,GigabitEthernet0,GigabitEthernet1/0/45,WASTPMC-LF15EA0
280,WAFIFAVNT-8AIDF-AS01,Port 1,GigabitEthernet10/21,SEP20BBC092C2CB
281,WAFIFAVNT-8AIDF-AS01,GigabitEthernet0,GigabitEthernet3/1,RBOA-08-2600-6
282,SJOMC-LAS-IDFPCC42-01,GigabitEthernet0,GigabitEthernet2/0/45,SJOAP-PCC4-30
283,SJOMC-LAS-IDFPCC42-01,GigabitEthernet0,GigabitEthernet2/0/41,SJOAP-PCC4-25
284,AKSEWMCNT-01MDF-AS01,GigabitEthernet0,GigabitEthernet5/0/22,AKSEWMC-FL17B94
285,SJOMC-LAS-IDFNEB-02,GigabitEthernet0,GigabitEthernet3/0/9,AP003a
286,WASHRDBNT-C5IDF-AS89,GigabitEthernet0,GigabitEthernet3/0/45,wsmc-dbw5-a9f2
287,WMCC-01A-S001-VSS,GigabitEthernet0,nullvalue,WMCC-02A-B-39
288,WMCC-01A-S001-VSS,GigabitEthernet0,nullvalue,WMCC-02A-F-04
289,AAMC-JDC01-S002,GigabitEthernet2/1/4,GigabitEthernet1/48,AAMC-JDCS-VSS01
290,WASTPEGNT-0001A-AS01,GigabitEthernet0,GigabitEthernet5/0/3,WASTPEG-1EG8104
291,WASTPEGNT-0001A-AS01,GigabitEthernet0,GigabitEthernet2/0/14,WASTPEG-1EG7FC2
292,MMGPL-LAS-MDFPL2-01,Port 1,GigabitEthernet3/0/29,SEP2C31246E871A
293,MMGPL-LAS-MDFPL2-01,Port 1,GigabitEthernet3/0/17,SEP2C31246BF07E
294,WATKWDCNT-3A13-OS01,FastEthernet0/1,GigabitEthernet1/0/25,WSBY3A7S001
295,WATKWDCNT-3A13-OS01,GigabitEthernet0,GigabitEthernet1/0/1,WA-Sabey-NOC-W003
296,CLDLV-DCS-CAGE5018-01-PRIVATE,Ethernet3/13,Ethernet2/13,CLDLV-DCS-CAGE5019-01-CORE(JAF1635ANFT)
297,WASVMPKNT-1SMDF-WR01,TenGigabitEthernet1/1/3,GigabitEthernet0/0/0,WASVMPKNT-1SMDF-DS80
